Judul,Tanggal,Berita,Kategori
One Pride MMA 75 jual tiket murah mulai 20 ribu Rupiah," Jumat, 8 Desember 2023 16:34 WIB","     Jakarta (ANTARA) - Pergelaran One Pride MMA 75 menjual tiket murah mulai 20 ribu Rupiah untuk menjangkau penonton dari seluruh kalangan agar dapat melihat langsung aksi dari para petarung Mixed Martial Arts (MMA) Indonesia.   Gelaran One Pride MMA ke-75 akan berlangsung di Tennis Indoor Senayan Gelora Bung Karno, Jakarta, Sabtu.   ""Dapatkan tiketnya di apps kami, dengan cara di download apps One Pride MMA, dan segera beli tiketnya. Harga mulai dari Rp20 ribu jadi sangat terjangkau sekali,"" ucap CEO One Pride MMA Fransino Tirta dalam keterangan pers, Jumat.   Dalam ajang One Pride MMA ke-75 bakal menyajikan 19 pertandingan yang dimulai dari pukul 13.00 WIB. Ajang One Pride 75 bakal menggelar pertarungan duel title fight atau perebutan sabuk juara di kelas atom (48kg) antara Ade Permana melawan Lipin Sitorus.  Baca juga: Ketangguhan Ade Permana bakal diuji pada ajang One Pride MMA 75   Laga ini adalah ulangan dalam pertemuan keduanya di panggung One Pride. Sebelumnya, Ade Permana pernah menundukkan Lipin kala bertanding di Fight Night 38, tahun 2020.   ""Yakin itu harus ada, karena 99 persen Ade sudah berlatih maksimal mengikuti arahan semua pelatih,"" ujar Ade.   Laga itu merupakan pertandingan ulangan dalam pertemuan keduanya di panggung One Pride. Sebelumnya, Ade pernah menundukkan Lipin kala bertanding di Fight Night 38 pada 2020.   Jagoan besutan Bandung Fighting Club itu yakin kalau ia bisa mengunci kemenangan lagi atas Lipin pada pertandingan Sabtu.   Dalam keterangan resmi One Pride MMA 2023, berikut di bawah ini adalah cara pembelian tiket nonton One Pride MMA 75:  Cara pembelian tiket  1. Masuk menu Fight Night  2. Memilih menu Get Tiket  3. Memilih area duduk dan menentukan jumlah tiket yang dibeli.  4. Menekan button Pay untuk melakukan proses pembayaran.  5. Menerima barcode tiket  Penonton yang sudah membeli tiket di aplikasi One Pride dapat menunjukkan barcode kepada petugas saat di lokasi venue.  Baca juga: Ronald Siahaan jadi juara baru kelas ringan One Pride MMA 74  Baca juga: One Pride MMA 74 sajikan aksi 38 petarung dalam 19 pertandingan   Pewarta: Fajar SatriyoEditor: Teguh Handoko    COPYRIGHT © ANTARA 2023 ",olahraga
IODI minta tambahan atlet masuk pelatda PON ke KONI Sumut," Jumat, 8 Desember 2023 14:58 WIB","     Medan (ANTARA) - Pengrov Ikatan Olahraga Dance Sport Indonesia (IODI) Sumatera Utara meminta KONI agar menambah atlet dansa yang masuk dalam program pelatda untuk melengkapi kuota 30 atlet di Pekan Olahraga Nasional (PON) XXI/2024.   ""Sebagai tuan rumah kita meminta kuota penuh 30 atlet untuk melakoni 21 nomor pertandingan di PON mendatang. Untuk saat ini ada 16 atlet dansa yang sudah masuk pelatda. Jadi kita minta ke KONI agar ada tambahan 14 atlet masuk pelatda,"" kata Ketua IODI Sumut drg Tetty di Medan, Jumat.   Atlet dansa yang saat ini masuk pelatda, kata dia, sudah latihan secara maksimal pagi dan sore setiap hari, baik peningkatan teknik maupun fisik.   Untuk menambah jam terbang dan menempa mental, pihaknya mengikutkan atlet pada sejumlah kejuaraan dance sport, bukan hanya di dalam negeri, namun juga ke sejumlah negara.   ""Try out maupun try in penting bagi atlet agar terbiasa menghadapi atmosfer suatu pertandingan. Sebagian atlet sudah try out ke China dan Jepang atas bantuan KONI Sumut. Hasil evaluasi setelah mengikuti try out, mereka semakin percaya diri,"" katanya.   Terkait kendala selama pelatda, Tetty mengaku semuanya berjalan dengan baik. Hanya saja tempat latihan yang selama ini digunakan di UPT Dispora Sumut dinilai kurang dingin sehingga membuat atlet kurang konsentrasi menjalani latihan.   ""Memang IODI Sumut diberi sarana latihan di UPT Dispora Sumut. Namun, sarana dan prasarana latihan kurang dingin atau udara ruangan panas sehingga mengganggu konsentrasi atlet saat latihan. IODI Sumut berharap ini segera diatasi,"" katanya.   Sementara pelatih tradisionil dance IODI Sumut Agus Salim Samosir mengatakan seluruh atlet terus menjalani pelatihan secara intensif empat kali seminggu yakni Senin, Rabu, Jumat, dan Sabtu.   Sebanyak 16 atlet yang saat ini mengikuti pelatda merupakan atlet pilihan dari seleksi yang digelar Oktober 2022. Bahkan beberapa di antaranya telah memiliki prestasi internasional seperti Stevany juara Taipei Open 2023, Muhammad Farhan peringkat kedelapan SEA Games Kamboja 2023, dan Alwin Giovano peringkat kedelapan World Breaking Classic Asia Pasific 2023.   Ada juga atlet yang berprestasi nasional seperti Gerry Alexander Tandy peringkat kedua  Kejurnas Palembang 2022, Aji Prihartanto peringkat kedua Kejurnas Palembang 2022, Ervina peringkat ketiga Kejurnas Palembang 2022, dan Hendra peringkat ketiga Hip Hop Duo Kejurnas Palembang 2022.   ""Kami menargetkan juara umum pada PON 2024. Medali diharapkan dari nomor tradisionil dance, hip hop dance, dan dansa. Saingan terberat pada PON nantinya berasal dari atlet DKI Jakarta, Jatim, Jabar, dan Bali,"" katanya.Pewarta: JuraidiEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
Lakers bertemu Pacers di final Tengah Musim NBA," Jumat, 8 Desember 2023 14:44 WIB","     Jakarta (ANTARA) - Los Angeles Lakers bertemu Indiana Pacers pada laga final Turnamen Tengah Musim NBA yang akan digelar di T-Mobile Arena Las Vegas pada Minggu (10/12), usai kedua tim tersebut memetik kemenangan di semifinal.   Lakers melenggang ke final turnamen yang baru dibuat oleh NBA ini dengan unggul 44 poin atas New Orleans Pelicans yaitu 133-89, sementara Pacers berhasil mengatasi unggulan tim Wilayah Timur Milwaukee Bucks dengan skor akhir 128-119, Jumat.    ""Saya rasa kami mulai merasakan apa yang kami perlukan untuk memenangkan pertandingan bola basket, yaitu konsisten,"" kata legenda hidup sekaligus pemain paling senior Los Angeles Lakers LeBron James seperti dikutip dari laman resmi NBA.   LeBron mencetak poin tertinggi dengan 30 poin, Austin Reaves 17 poin, Anthony Davis mencatat double-double dengan 16 poin dan 15 rebound, Taurean Prince 15 poin, D'Angelo Russell 14 poin, dan Rui Hachimura 12 poin.   Lakers tak kesulitan menghadapi Pelicans. Mereka hanya baru menemukan permainannya di kuarter dua dan terus melaju sampai kuarter akhir.   Di kuarter empat, Lakers menutup laga dengan selisih poin tertinggi yaitu 44 poin atas Pelicans.   ""Secara defensif, kami merasa seperti, OK, kami harus bermain defensif setiap malam. Dan ketika kami bertahan, kami membuka peluang untuk menang setiap malam,"" kata LeBron.  Baca juga: Lakers hingga Pacers berebut tempat di Final Turnamen Tengah Musim   Berbeda dengan Lakers, Indiana Pacers harus bersusah payah mengatasi tim papan atas klasemen Wilayah Timur Milwaukee Bucks. Dalam laga itu, terjadi 16 kali perubahan keunggulan poin dari kedua tim.   Pacers hanya bisa unggul paling banyak 12 poin, sementara Bucks hanya sempat unggul tujuh poin. Pada gim yang ketat itu, Tyrese Haliburton dan Myles Turner masing-masing mencatatkan double-double.   Haliburton mencetak 27 poin dan 15 assist, sementara Turner yang bertugas lebih bertahan mencetak 26 poin dan 10 rebound.   ""Kami bermain dengan benar dan saat ini kami menggemparkan dunia. Kami akan terus melakukannya,"" kata Haliburton.   Sementara dari kubu Bucks, Giannis Antetokounmpo belum mampu menggendong timnya untuk menang meski mencetak 37 poin dan 10 rebound untuk Milwaukee.   Damian Lillard menambahkan 24 poin, Khris Middleton 20 poin, dan Brook Lopez 18 poin.  Baca juga: Bucks melaju ke semifinal Turnamen Tengah Musim NBA  Baca juga: Kevin Durant masuk jajaran 10 besar pencetak poin terbanyak NBAPewarta: Aditya RamadhanEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
Para bulu tangkis Indonesia borong lima emas di WAG 2023 Thailand," Jumat, 8 Desember 2023 14:10 WIB","     Jakarta (ANTARA) - Tim para bulu tangkis Indonesia membawa pulang lima medali emas pada ajang World Abilitysport Games (WAG) 2023 yang digelar di Nakhon Ratchasima, Thailand, Jumat.    Dikutip dari keterangan resmi Komite Paralimpiade (NPC) Indonesia, para bulu tangkis Indonesia masuk final di lima nomor, dengan tiga nomor di antaranya merupakan All Indonesia Final.    Medali emas pertama didapat oleh ganda campuran SL3-SU5 Hikmat Ramdani/Leani Ratri Oktila. Pasangan itu menang atas kompatriotnya Fredy Setiawan/Khalimatus Sadiyah dalam dua gim langsung 21-8, 21-19.    Kemudian, medali emas kedua direbut oleh tunggal putra SH6 Subhan setelah mengandaskan wakil India Pandurangan Dhinagaran 21-11, 21-10.    Lebih lanjut, partai All Indonesia Final kembali tercipta antara Fredy Setiawan versus Hikmat Ramdani di nomor tunggal putra SL4. Fredy berhasil memenangkan duel tersebut dalam dua gim langsung 21-18, 21-9.  Baca juga: Para atletik sumbang emas di World Abilitysport Games 2023    Medali emas selanjutnya dipersembahkan oleh Leani Ratri Oktila. Ratri sukses membungkam kompatriotnya Khalimatus Sadiyah 21-12, 21-10.    Medali emas terakhir didapat oleh Suryo Nugroho yang tampil di nomor tunggal putra SU5. Suryo berhasil mengalahkan utusan Taiwan Jen-Yu Fang.    Sebanyak lima medali emas dari para bulu tangkis membuat Indonesia untuk sementara mengoleksi 29 medali emas di WAG 2023 Thailand.    Sementara itu, WAG 2023 Thailand masih akan bergulir hingga Sabtu (9/12). Selain para bulu tangkis, masih terdapat beberapa cabang olahraga yang diandalkan oleh Indonesia di ajang ini, termasuk para balap sepeda, para tenis meja, para panahan, hingga para atletik.  Baca juga: Para balap sepeda dan tenis meja tambah emas Indonesia di WAG 2023  Baca juga: Para angkat berat sumbang emas di World Abilitysport Games 2023Pewarta: Arnidhya Nur ZhafiraEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
NBA : LA Lakers ditantang Indiana Pacers di final In Season Tournament," Jumat, 8 Desember 2023 12:38 WIB",,olahraga
Para atletik sumbang emas di World Abilitysport Games 2023," Jumat, 8 Desember 2023 11:47 WIB","     Jakarta (ANTARA) - Cabang olahraga Para atletik menyumbang emas dari nomor lari 100 meter melalui atlet Partin Muhlisin pada World Abilitysport Games (WAG) 2023 di Nakhon Ratchasima Thailand.    Emas Partin didapat dari lari 100 meter klasifikasi T42/44 dengan catatan waktu 12,38 detik, mengalahkan dua pelari asal India Manoj Baskar dan Satya Prakash yang meraih perak dan perunggu.   Emas Partin pada lari 100 meter itu didapatkannya saat dia sedang menjalani nomor perlombaan lompat jauh.   Partin mengaku tertantang dengan mengikuti dua nomor perlombaan berbeda secara berbarengan. “Perlombaan dalam event ini juga berbeda dari event-event lainnya. Sebelum turun di lari 100 meter, saya tampil di lompat jauh. Biasanya satu sesi hanya memainkan satu nomor perlombaan, tapi di sini beberapa nomor dilombakan bersamaan,” ucap Partin.   Dia menyebut harus menunda dulu percobaan lompatan pada nomor lompat jauh untuk turun di nomor lari 100 meter. “Nah, ketika saya sedang menjalani lompatan kelima, saya dipanggil tampil untuk main di lari 100 meter. Ini merupakan tantangan tersendiri bagi saya,” kata Partin.  Baca juga: Para balap sepeda dan tenis meja tambah emas Indonesia di WAG 2023   Selain meraih emas di nomor lari, Partin juga merebut medali perunggu di nomor lompat jauh T42/44/46/47. Keberhasilan Partin merebut dua medali di dua nomor berbeda tidak lepas dari komunikasi yang bagus dengan pelatih untuk mengatur kesiapan fisik menghadapi setiap perlombaan.   “Saya tidak bermasalah dengan stamina karena telah berlatih dengan program yang berat. Tinggal bagaimana komunikasi dengan pelatih supaya bisa mengatur strategi yang bagus untuk menang,” jelas Partin.   Prestasi bagus Partin di WAG 2023 menjadi modal penting baginya untuk mengukur hasil latihan selama ini. Hasil ini juga menjadi modal bagus bagi Partin untuk menghadapi kejuaraan lainnya.   Sebelumnya, kontingen Indonesia yang berlaga di WAG 2023 Thailand juga sudah meraih dua emas pada cabang olahraga Para balap sepeda, satu emas pada Para tenis meja, dua emas dari Para angkat berat, dua emas dari Jendi Pangabean atlet Para renang, dan satu emas dari Para menembak.  Baca juga: Para angkat berat sumbang emas di World Abilitysport Games 2023  Baca juga: Jendi Pangabean tambah perolehan emas Indonesia di WAG 2023Pewarta: Aditya RamadhanEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
Ferrari soroti masalah keandalan mobil sepanjang musim 2023," Jumat, 8 Desember 2023 10:44 WIB","     Jakarta (ANTARA) - Kepala Tim Balap Ferrari Frederic Vasseur mengatakan menyoroti masalah keandalan yang memengaruhi performa mereka sepanjang Formula 1 musim 2023.    “Kami mempunyai masalah keandalan. Tapi secara keseluruhan, kami juga menunjukkan progres positif di balapan terakhir (GP Abu Dhabi),” kata Vasseur, dikutip dari keterangan resmi Formula 1, Jumat.    Adapun sejauh ini, Ferrari hanya membukukan satu kemenangan grand prix yang diraih oleh Carlos Sainz di Singapura, serta total tujuh podium dalam 11 balapan.    Menyoroti akhir musim mereka di Abu Dhabi, Vasseur merasa tim melewatkan sejumlah momentum dan peluang. Meski demikian, ia tetap yakin bahwa dengan terus berusaha, ia dan tim bisa kembali tampil kompetitif atau bahkan mematahkan dominasi Red Bull.    “Jika melihat tiga atau empat balapan terakhir, kami selalu berada di baris pertama, kami bertarung dengan Red Bull, dan kami harus menjaga momentum ini untuk tahun depan,” ujar dia.    Pria yang pindah dari Alfa Romeo ke Ferrari itu pun tak menampik bahwa ia memiliki tekanan tersendiri untuk memimpin salah satu tim favorit di grid F1 tersebut.    “Saya pikir tingkat ekspektasinya agak terlalu tinggi pada awalnya dan ketika kami tiba di Bahrain semuanya cukup baik, tapi kemudian di Jeddah dan seterusnya menjadi sulit. Kami mengalami momen yang cukup sulit pada periode musim ini,” kata Vasseur. Baca juga: Hamilton nantikan pembaruan signifikan Mercedes untuk F1 2024   Vasseur pun menyimpulkan masalah keandalan yang ia sebutkan di awal berdampak pada konsistensi para pembalap sepanjang tahun ini. Sehingga, hal itu lah yang ingin ia dan tim perbaiki pada musim mendatang.    “Saya pikir secara keseluruhan, ini lebih merupakan masalah keandalan. Ada ruang untuk perbaikan di tahun depan, tapi saya tidak ingin terlalu optimistis. Namun, jika dilihat dari akhir musim ini, saya pikir kami harus membangun dinamika ini,” kata Vasseur.    Ia melanjutkan, akhir positif bagi Ferrari pada 2023 akan menjadi sebuah dorongan ekstra bagi tim yang ingin mengakhiri puasa gelar selama 15 tahun. 2008 menandai kemenangan terakhir mereka di klasemen konstruktor, sementara 2007 merupakan kemenangan terakhir pembalap mereka bersama Kimi Raikkonen.    “Kita harus membuahkan hasil, itu adalah satu-satunya motivasi,” ujar pria asal Prancis itu.    Sementara itu, Formula 1 musim 2024 akan dibuka di Bahrain pada 29 Februari hingga 2 Maret 2024.  Baca juga: Russell yakin Mercedes bisa bangkit dan kompetitif di musim 2024  Baca juga: Verstappen ungkap Red Bull miliki banyak pengembangan mobil di 2024Pewarta: Arnidhya Nur ZhafiraEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
NBA : Indiana Pacers melaju ke final In Season Tournament," Jumat, 8 Desember 2023 10:11 WIB",,olahraga
Sam Lowes bagikan kesan pertama tunggangi Ducati untuk WSBK 2024," Jumat, 8 Desember 2023 09:41 WIB","     Jakarta (ANTARA) - Pembalap ELF MarcVDS Sam Lowes membagikan kesan pertamanya saat menunggangi Ducati Panigale V4 R dalam uji coba di Sirkuit Jerez, Spanyol, jelang World Superbike (WSBK) 2024.    Dalam kondisi trek basah karena cuaca buruk, Lowes mengatakan ia hanya berhasil melakukan 65 lap pada uji coba yang berlangsung selama dua hari tersebut.    “Perasaan pertama saya bersama Ducati sungguh luar biasa. Saya cukup gugup untuk keluar di pagi hari di tengah hujan, jadi bagi saya itu adalah perasaan yang menyenangkan,” ungkap Lowes, dikutip dari keterangan resmi WSBK, Jumat.    Ia mengaku merasa senang bisa keluar dan memahami kinerja motor termasuk soal tenaga dan kelistrikan dengan baik bersama tim.    “Untuk memahami elektroniknya, tenaganya dibandingkan dengan Moto2, saya terus tersenyum bahkan pada hari pertama di tengah hujan. Saya sangat bersemangat dan memiliki banyak hal untuk saya nantikan,” kata pembalap Inggris itu.    Saudara kembar pembalap Alex Lowes itu menambahkan, dirinya banyak belajar dari uji coba di trek basah kali ini. Ia mengakui masih ada penyesuaian yang harus dilakukan, namun sudah merasa sangat nyaman di atas motor Ducati.    “Ini adalah hari yang positif. Saya langsung merasa sangat nyaman di atas motor dan itu cukup mengejutkan saya. Ada beberapa hal yang perlu saya sesuaikan dengan gaya berkendara saya dibandingkan saat berada di Moto2. Saya pikir saya sudah cukup baik,” jelas Lowes. Baca juga: Toprak nantikan uji coba di Jerez bersama BMW untuk WSBK 2024   Meskipun ia baru saja melakoni uji coba motor, Lowes mengaku senang bisa menjadi bagian dari tim dan memulai tantangan baru dalam kariernya dengan kembali ke WSBK sejak kesuksesannya meraih gelar World Supersport (WSSP) 2013.    “Timnya sangat bagus! Sungguh menyenangkan bisa menyatukan semua orang. Ini adalah grup yang sangat bagus dan kami telah melakukan pekerjaan yang baik untuk mencapainya,” kata Lowes.    “Kami memiliki banyak pekerjaan yang harus dilakukan. Tapi kami sangat positif, kami menantikan musim mendatang, menatap musim pertama kami dan, memiliki target yang tinggi,” ujar dia.    Sementara itu, WSBK musim 2024 akan dibuka di di Sirkuit Phillip Island, Australia, pada 23-25 Februari 2024.  Baca juga: Toprak sebut uji coba motor perdana bersama BMW berjalan positif  Baca juga: Pedrosa yakin Iannone masih bisa tampil kompetitif di WSBKPewarta: Arnidhya Nur ZhafiraEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
Hamilton nantikan pembaruan signifikan Mercedes untuk F1 2024," Jumat, 8 Desember 2023 09:11 WIB","     Jakarta (ANTARA) - Pembalap Lewis Hamilton menantikan pengembangan atau pembaruan signifikan dari Mercedes agar bisa kembali tampil kompetitif untuk mengarungi Formula 1 musim 2024.    Hal itu menyusul Hamilton yang mengungkapkan kekecewaannya terkait mobil W13 (2022) dan W14 yang ia nilai tidak memiliki perbedaan dari segi performa, sehingga membuatnya kembali tidak membukukan satu pun kemenangan grand prix sepanjang musim 2023.    “Saya ingat rasanya (saat berkendara) persis sama. Dan itu jelas bukan perasaan yang menyenangkan. Saya benar-benar mempunyai harapan yang tinggi ,” kata Hamilton saat membandingkan kedua mobil tersebut, dikutip dari keterangan resmi Formula 1, Jumat.    Perasaan itu ia dapatkan setelah melakoni uji coba pertama untuk mobil pada Februari dan sejak saat itu, pembalap Inggris itu mengakui bahwa ia telah berpikir 2023 akan menjadi tahun sulit lainnya bagi Mercedes.    “Saya hanya tahu ini akan menjadi tahun yang panjang. Saya yakin ada rasa frustrasi karena saya telah meminta perubahan tertentu dan itu tidak dilakukan,” ujarnya menambahkan.    Meski demikian, juara dunia enam kali itu mengatakan tahun ini cenderung lebih baik dari tahun sebelumnya, terlepas dari dominasi kuat Red Bull dan pengembangan signifikan dari Ferrari yang mampu beradaptasi dengan regulasi groud effect baru. Baca juga: Russell yakin Mercedes bisa bangkit dan kompetitif di musim 2024   Hamilton pada musim ini mencetak enam podium dan finis di posisi ketiga pada klasemen pembalap.    “Saya bisa tetap bersikap lebih positif sepanjang tahun ini dan berkata, 'Ini akan menjadi musim yang panjang, tapi jangan menyerah. Mari terus berusaha untuk mendapatkan hasil maksimal dari mobil, apa pun itu’,” kata Hamilton.    Di sisi lain, rekan satu timnya George Russell juga cukup optimistis menatap musim 2024.    Hal itu menyusul Mercedes yang berhasil finis sebagai tim terbaik kedua pada klasemen konstruktor di bawah Red Bull yang tampil begitu dominan dan memenangkan hampir semua grand prix musim ini.    “Saya pikir tugas yang harus dihadapi semua orang sangatlah besar. Kami semua berusaha mengejar mobil paling dominan dalam sejarah F1. Jadi ini bukanlah tugas yang singkat dan semua orang harus bersatu, benar-benar fokus, benar-benar melakukan segalanya, dan waktu akan menjawabnya,” kata Russell.    Sementara itu, Formula 1 musim 2024 akan dibuka di Bahrain pada 29 Februari hingga 2 Maret 2024.  Baca juga: Verstappen ungkap Red Bull miliki banyak pengembangan mobil di 2024  Baca juga: Meski kecewa, Leclerc yakin bisa kompetitif bersama Ferrari di F1 2024Pewarta: Arnidhya Nur ZhafiraEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
KOI perkuat dan matangkan persiapan Indonesia menuju Paris," Jumat, 8 Desember 2023 08:55 WIB","     Jakarta (ANTARA) - Komite Olimpiade Indonesia (KOI/NOC Indonesia) berkomitmen memperkuat gerakan Olimpiade di Tanah Air, termasuk mempersiapkan dengan matang tim Indonesia menuju Olimpiade 2024 Paris.    Ketua KOI Raja Sapta Oktohari menyampaikan hal tersebut dalam perjalanan diplomasi internasional ke Lausanne, Swiss pada 6-7 Desember.    “Kunjungan kami ke Lausanne dalam rangka diplomasi internasional ke ANOC Office bersama Kementerian Pemuda dan Olahraga (Kemenpora). Selain itu, NOC Indonesia juga bertemu dengan IOC (Komite Olimpiade Internasional) serta beberapa Federasi Internasional, termasuk mengunjungi Olympic Museum,” kata Okto, dikutip dari keterangan resmi, Jumat.    Misi diplomasi internasional ke Swiss tersebut, lanjut Okto, merupakan salah satu rangkaian program kerja NOC Indonesia untuk menjaga nama Merah Putih di kancah internasional, penguatan organisasi keolahragaan Indonesia, penguatan Olympic Movement, serta langkah-langkah yang diperlukan agar kontingen Merah Putih dapat tampil lebih kuat di Paris 2024.    “Jadi kami juga memaksimalkan kesempatan ini untuk berkoordinasi dengan komunitas olahraga dunia untuk kepentingan nama baik Indonesia dan Merah Putih,” kata Okto.    Pada 5 Desember, Komite Olimpiade Internasional (IOC) juga menggelar 12th Olympic Summit yang menekankan beberapa poin penting, di antaranya Gerakan Olimpiade dan terciptanya perdamaian dunia melalui olahraga, persiapan Paris 2024, Olimpiade Musim Dingin 2026 Cortina, antidoping, future games, keterlibatan digital, konsep Olympic Esports Games, serta perlindungan untuk para atlet. Baca juga: KOI perkuat sinergi dengan Prancis jelang Olimpiade 2024 Paris   Okto mengatakan salah satu tujuan utama dari misi Olimpiade adalah terciptanya perdamaian dunia.    “Kemarin saat ISSF di Riyadh juga sepakat menyuarakan keprihatinan atas kondisi invasi yang terjadi di Palestina dan IOC Summit juga mengakui resolusi PBB A/RES/78/10 yang mempromosikan perdamaian melalui olahraga dan ideal Olimpiade. Jadi intinya semua sepakat bahwa keluarga olahraga internasional turut membawa misi perdamaian,” ujar Okto.    Setelah melakukan misi diplomasi internasional di Swiss, NOC Indonesia juga akan langsung bertolak ke Doha untuk memantau langsung lifter Indonesia yang tengah berburu kualifikasi Olimpiade Paris 2024 di IWF Grand Prix II 2023.    Lifter-lifter Indonesia tengah berjuang untuk membukukan angkatan terbaiknya di salah satu turnamen yang masuk dalam kualifikasi Paris 2024 ini.  Baca juga: ISSF serukan solidaritas olahraga untuk Palestina  Baca juga: Menpora berharap banyak atlet bisa tembus ke Olimpiade 2024Pewarta: Arnidhya Nur ZhafiraEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
Tim pelajar raih dua emas di SEA Youth Athletics Championships 2023," Jumat, 8 Desember 2023 08:43 WIB","     Jakarta (ANTARA) - Tim pelajar atletik Indonesia menunjukkan prestasi dalam 15th SEA Youth Athletics Championships 2023 yang diadakan di National Athletics Centre, Pathum Thani, Thailand, dengan meraih dua medali emas, dua perak, dan satu perunggu.   Pada hari pertama pertandingan, Kamis (7/12), atlet lompat galah Maria Adriani Melabesy dan atlet lempar lembing Achmad Zaenuri meraih masing-masing satu medali emas.   Raihan medali selanjutnya dipersembahkan oleh atlet 110m lari gawang Brian Bagas Swara dan atlet lompat jauh Katyea Febri Safitri, masing-masing menyumbang satu medali perak.   Perlombaan atletik hari pertama ditutup dengan satu medali perunggu dari Risky Fahmi Ardiansyah.   Manager tim pelajar atletik Indonesia Rumini mengatakan bahwa persiapan atlet sudah dilakukan cukup lama yaitu sejak diselenggarakan kejuaraan-kejuaraan PB PASI, POPNAS, Kejurnas PPLP se-Indonesia, sehingga pemilihan atlet pun sudah sangat dipersiapkan.   ""Untuk target dalam kompetisi ini adalah sebanyak empat medali emas, semoga di hari berikutnya masih bisa mendulang medali emas kembali sesuai target bahkan diharapkan melampaui target,"" ujar Rumini dikutip dari laman resmi Kementerian Pemuda dan Olahraga (Kemenpora) RI, Jumat.   ""Bekal di hari berikutnya dalam kompetisi, ada beberapa nomor pertandingan andalan yang belum dilaksanakan. Semoga besok kita akan kembali mencapai target.""  Baca juga: PP Pordasi kirim tiga rider equestrian bersaing di SEA Youth Cup 2023   Asisten Deputi Sentra Pembinaan Olahraga Prestasi pada Deputi Bidang Peningkatan Prestasi Olahraga Kemenpora mengirim tim pelajar atletik Indonesia sebanyak 35 atlet yang terdiri dari 20 putra dan 15 putri.   Mereka akan mengikuti 31 nomor untuk putra dan 37 nomor untuk putri yang dipertandingkan dalam 15th SEA Youth Championships 2023 yang akan berlangsung mulai 6-10 Desember.  Baca juga: Indonesia raih empat emas di Wounded Homeland Games 2023  Baca juga: Saptoyogo targetkan perbaikan catatan waktu di WAG 2023 ThailandPewarta: Arindra MeodiaEditor: Eka Arifa Rusqiyati    COPYRIGHT © ANTARA 2023 ",olahraga
Nadal belum yakin 2024 akan jadi tahun terakhir kariernya," Jumat, 8 Desember 2023 07:58 WIB","     Jakarta (ANTARA) - Rafael Nadal belum dapat memastikan bahwa 2024 akan menjadi tahun terakhirnya sebelum pensiun.   Sebelumnya, petenis berusia 37 tahun itu sempat mengisyaratkan akan gantung raket pada akhir tahun 2024.   ""Ada kemungkinan ini akan menjadi tahun terakhir saya dan saya akan menikmati turnamen dengan cara seperti itu,"" kata Nadal dalam video yang diunggah di akun media sosialnya, Kamis.   ""Saya tidak ingin mengumumkannya karena pada akhirnya saya tidak tahu apa yang bisa terjadi dan saya harus memberi diri saya kesempatan untuk tidak mengatakan satu hal pun karena saya akan menjadi apa yang saya katakan.""   Juara Grand Slam 22 kali itu akan kembali dari absen selama hampir setahun karena cedera pada ajang pemanasan Australian Open di Brisbane bulan depan.   ""Saya tidak bisa yakin 100 persen karena pada akhirnya saya telah bekerja keras untuk kembali berkompetisi dan jika tiba-tiba keadaan dan fisik saya memungkinkan saya untuk melanjutkan dan menikmati apa yang saya lakukan, mengapa saya harus menetapkan tenggat waktu?""   ""Saya pikir itu tidak masuk akal.""   Nadal masuk dalam daftar peserta Australian Open menjelang dimulainya turnamen Grand Slam pertama tahun ini pada 14 Januari.   Petenis Spanyol itu belum pernah bermain sejak kekalahan babak kedua dari petenis Amerika MacKenzie McDonald di Melbourne Park 11 bulan lalu.   Nadal membutuhkan dua kali operasi setelah berjuang dengan cedera pinggul dan merosot ke peringkat 664 dunia karena absen.Pewarta: Arindra MeodiaEditor: Hernawan Wahyudono    COPYRIGHT © ANTARA 2023 ",olahraga
